Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,10,348.0,89.154,0.907,-0.919,0.921,0.418,34.465,14.532,21.05
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,11,408.0,84.083,0.712,0.867,0.944,0.56,28.589,20.074,22.792
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,12,362.0,90.77,0.911,-1.337,0.921,0.529,35.619,14.683,21.469
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,13,231.0,85.527,0.968,0.217,0.892,0.456,36.285,9.126,17.15
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,14,187.0,73.012,0.957,-1.001,0.89,0.352,30.722,8.902,15.43
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,15,48.0,34.971,0.978,-0.507,0.8,0.32,17.535,3.629,7.818
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,16,140.0,71.213,0.981,0.193,0.838,0.424,31.99,6.166,13.351
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,17,611.0,106.912,0.771,-1.333,0.946,0.58,37.167,23.648,27.892
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,18,571.0,110.912,0.881,-1.15,0.935,0.529,41.53,19.679,26.963
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,19,10.0,9.207,0.976,-0.211,0.714,0.476,8.007,1.758,3.568
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,20,308.0,77.941,0.878,0.685,0.942,0.536,30.341,14.527,19.803
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,21,563.0,110.083,0.883,-1.184,0.931,0.528,41.611,19.556,26.774
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,22,357.0,76.77,0.573,0.197,0.947,0.624,24.822,20.342,21.32
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,23,379.0,78.77,0.753,0.981,0.95,0.634,28.241,18.594,21.967
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,24,465.0,91.841,0.746,0.681,0.941,0.574,31.866,21.217,24.332
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,25,18.0,17.414,0.982,-0.066,0.75,0.545,11.269,2.111,4.787
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,26,369.0,79.77,0.765,1.457,0.939,0.615,28.237,18.199,21.675
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,27,346.0,82.77,0.856,1.19,0.933,0.558,30.789,15.913,20.989
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,28,5.0,5.207,0.816,-0.322,1.0,0.833,3.098,1.789,2.523
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,29,391.0,83.355,0.624,0.217,0.938,0.607,26.938,21.053,22.312
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,30,441.0,87.841,0.7,0.685,0.957,0.605,29.581,21.114,23.696
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,31,360.0,79.255,0.725,-0.414,0.945,0.564,27.295,18.786,21.409
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,32,385.0,84.426,0.729,0.092,0.923,0.583,28.542,19.536,22.14
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,33,326.0,84.74,0.897,0.968,0.921,0.421,32.921,14.572,20.373
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,34,50.0,34.521,0.967,-0.261,0.847,0.521,16.2,4.104,7.979
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,35,527.0,98.462,0.727,0.992,0.946,0.574,33.392,22.934,25.904
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,36,55.0,33.971,0.975,0.558,0.821,0.312,18.405,4.089,8.368
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,37,213.0,62.527,0.846,1.381,0.934,0.585,23.987,12.798,16.468
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,38,116.0,46.284,0.862,-1.137,0.892,0.496,17.999,9.122,12.153
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,39,22.0,14.485,0.965,0.8,0.917,0.393,10.469,2.732,5.293
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,40,113.0,50.349,0.948,1.537,0.934,0.646,22.486,7.183,11.995
